date,home_team,away_team,home_goals,away_goals,league,season,matchday
02/04/2011,Halmstads BK,Kalmar FF,0,0,SE1,2011,1
03/04/2011,IFK Norrköping,GAIS,2,0,SE1,2011,1
03/04/2011,Syrianska FC,Gefle IF,1,1,SE1,2011,1
03/04/2011,Trelleborgs FF,Malmö FF,2,4,SE1,2011,1
03/04/2011,Mjällby AIF,Helsingborgs IF,0,1,SE1,2011,1
04/04/2011,IFK Göteborg,Örebro SK,0,1,SE1,2011,1
04/04/2011,IF Elfsborg,BK Häcken,2,1,SE1,2011,1
04/04/2011,Djurgårdens IF,AIK,0,0,SE1,2011,1
08/04/2011,Örebro SK,Syrianska FC,1,0,SE1,2011,2
09/04/2011,Gefle IF,IFK Norrköping,2,0,SE1,2011,2
09/04/2011,GAIS,Trelleborgs FF,4,0,SE1,2011,2
10/04/2011,AIK,Mjällby AIF,3,0,SE1,2011,2
10/04/2011,BK Häcken,IFK Göteborg,3,1,SE1,2011,2
11/04/2011,Kalmar FF,Djurgårdens IF,3,2,SE1,2011,2
11/04/2011,Malmö FF,Halmstads BK,3,1,SE1,2011,2
15/04/2011,Djurgårdens IF,Malmö FF,0,1,SE1,2011,3
16/04/2011,Halmstads BK,GAIS,0,2,SE1,2011,3
16/04/2011,Mjällby AIF,Kalmar FF,1,0,SE1,2011,3
17/04/2011,Syrianska FC,BK Häcken,1,5,SE1,2011,3
17/04/2011,IF Elfsborg,AIK,2,2,SE1,2011,3
17/04/2011,Trelleborgs FF,IFK Norrköping,1,2,SE1,2011,3
18/04/2011,IFK Göteborg,Helsingborgs IF,1,2,SE1,2011,3
18/04/2011,Örebro SK,Gefle IF,2,3,SE1,2011,3
19/04/2011,GAIS,Djurgårdens IF,2,1,SE1,2011,4
20/04/2011,IFK Norrköping,Halmstads BK,2,0,SE1,2011,4
20/04/2011,Kalmar FF,IF Elfsborg,2,1,SE1,2011,4
20/04/2011,Malmö FF,Mjällby AIF,1,0,SE1,2011,4
21/04/2011,Gefle IF,Trelleborgs FF,1,2,SE1,2011,4
21/04/2011,BK Häcken,Örebro SK,1,2,SE1,2011,4
21/04/2011,AIK,IFK Göteborg,2,0,SE1,2011,4
